,Hole,Round,Birdie,Bogey,Double Bogey,Eagle,Other,Par
61,16,1,"Dustin Johnson, Jason Day, Ian Poulter, Phil Mickelson, Rory McIlroy, Jordan Spieth, Bryson DeChambeau, Viktor Hovland, Rafa Cabrera Bello, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Eddie Pepperell, Cameron Smith, Billy Horschel, Satoshi Kodaira, Stewart Cink, Sandy Lyle, Kevin O'Connell, Shugo Imahira, Ian Woosnam","Matt Kuchar, Aaron Wise, Thorbjorn Olesen, Branden Grace, Justin Rose, Shane Lowry, Jovan Rebula, Angel Cabrera","Matthew Fitzpatrick, Brandt Snedeker, Jose Maria Olazabal",NA,NA,"Tiger Woods, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Mike Weir, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Larry Mize, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh"
62,16,2,"Jason Day, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Keegan Bradley, Kevin Na, Eddie Pepperell, Devon Bling, Takumi Kanaya, J.B. Holmes, Shane Lowry","Adam Scott, Lucas Bjerregaard, Si Woo Kim, Bryson DeChambeau, Hideki Matsuyama, Andrew Landry, Billy Horschel, Stewart Cink, Adam Long",NA,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Cameron Smith, Tyrrell Hatton, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Alex Noren, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
63,16,3,"Tiger Woods, Webb Simpson, Matt Kuchar, Aaron Wise, Patton Kizzire, Rory McIlroy, Henrik Stenson, Jimmy Walker, J.B. Holmes","Adam Scott, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Tommy Fleetwood, Patrick Reed, Keith Mitchell, Devon Bling",NA,NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Kevin Tway, Keegan Bradley, Haotong Li, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Alex Noren"
64,16,4,"Tiger Woods, Dustin Johnson, Tony Finau, Jon Rahm, Aaron Wise, Thorbjorn Olesen, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Alvaro Ortiz, Patrick Reed, Kevin Tway, Haotong Li, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Cameron Smith, Billy Horschel, Zach Johnson, Emiliano Grillo, Alex Noren","Patrick Cantlay, Tyrrell Hatton, Takumi Kanaya","Eddie Pepperell, J.B. Holmes","Justin Thomas, Bryson DeChambeau",NA,"Brooks Koepka, Xander Schauffele, Jason Day, Francesco Molinari, Webb Simpson, Rickie Fowler, Justin Harding, Matt Kuchar, Ian Poulter, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Jordan Spieth, Kyle Stanley, Louis Oosthuizen, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Henrik Stenson, Jimmy Walker, Keegan Bradley, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Martin Kaymer, Devon Bling, Branden Grace, Satoshi Kodaira, Bernhard Langer"
65,17,1,"Justin Harding, Adam Scott, Bryson DeChambeau, Charley Hoffman, Alvaro Ortiz, Justin Rose, Adam Long, Jovan Rebula","Tiger Woods, Jason Day, Tony Finau, Webb Simpson, Patrick Cantlay, Matthew Fitzpatrick, Rory McIlroy, Charles Howell III, Satoshi Kodaira, Alex Noren, Stewart Cink, Danny Willett, Brandt Snedeker, Shugo Imahira, Paul Casey","Aaron Wise, Takumi Kanaya",NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Francesco Molinari, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Mike Weir, Fred Couples, Charl Schwartzel, Shane Lowry, Larry Mize, Matt Wallace, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
66,17,2,"Justin Harding, Si Woo Kim, Patrick Reed, Henrik Stenson, Keegan Bradley, Cameron Smith, Emiliano Grillo, Adam Long, Shane Lowry, Paul Casey","Bubba Watson, Phil Mickelson, Thorbjorn Olesen, Haotong Li, Keith Mitchell, Martin Kaymer, Zach Johnson, Justin Rose, Mike Weir, Brandt Snedeker, Larry Mize, Michael Kim",Stewart Cink,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Kevin Tway, Jimmy Walker, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Danny Willett, Fred Couples, Charl Schwartzel, Shugo Imahira, Jovan Rebula, Matt Wallace, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
67,17,3,"Patrick Cantlay, Justin Harding, Si Woo Kim, Jordan Spieth, Viktor Hovland, Kevin Tway, Jimmy Walker, Andrew Landry, Eddie Pepperell, Cameron Smith, Devon Bling","Phil Mickelson, Bryson DeChambeau, Charley Hoffman, Charles Howell III, Gary Woodland, Haotong Li, Keith Mitchell, Tyrrell Hatton, Bernhard Langer",J.B. Holmes,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Louis Oosthuizen, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Keegan Bradley, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Alex Noren"
68,17,4,"Dustin Johnson, Francesco Molinari, Rickie Fowler, Kevin Kisner, Kyle Stanley, Gary Woodland, Alvaro Ortiz, Patrick Reed, Kevin Tway, J.B. Holmes","Patrick Cantlay, Ian Poulter, Bubba Watson, Jordan Spieth, Tommy Fleetwood, Henrik Stenson, Trevor Immelman, Devon Bling, Emiliano Grillo, Bernhard Langer",NA,NA,NA,"Tiger Woods, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Webb Simpson, Jon Rahm, Justin Harding, Matt Kuchar, Justin Thomas, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Alex Noren"
69,18,1,"Francesco Molinari, Matt Kuchar, Phil Mickelson, Adam Scott, Bryson DeChambeau","Justin Harding, Justin Thomas, Aaron Wise, Patton Kizzire, Lucas Bjerregaard, Matthew Fitzpatrick, Rory McIlroy, Viktor Hovland, Charles Howell III, Gary Woodland, Patrick Reed, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Kevin O'Connell, Charl Schwartzel, Shugo Imahira, Larry Mize, Jovan Rebula, Matt Wallace, Vijay Singh, Jose Maria Olazabal","Xander Schauffele, Keegan Bradley, Devon Bling, Paul Casey",NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Ian Poulter, Bubba Watson, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Cameron Smith, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shane Lowry, Michael Kim, Ian Woosnam, Angel Cabrera"
70,18,2,"Brooks Koepka, Xander Schauffele, Patton Kizzire, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Billy Horschel, Bernhard Langer, Alex Noren","Patrick Cantlay, Justin Harding, Justin Thomas, Lucas Bjerregaard, Keith Mitchell, Corey Conners, Marc Leishman, Branden Grace, Zach Johnson, Emiliano Grillo, Sergio Garcia, Kevin O'Connell, Justin Rose, Danny Willett, Brandt Snedeker, Matt Wallace, Paul Casey, Ian Woosnam, Jose Maria Olazabal","Henrik Stenson, Jovan Rebula, Michael Kim",NA,NA,"Tiger Woods, Dustin Johnson, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Rafa Cabrera Bello, Patrick Reed, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Stewart Cink, Sandy Lyle, Mike Weir, Fred Couples, Adam Long, Charl Schwartzel, Shugo Imahira, Shane Lowry, Larry Mize, Vijay Singh, Angel Cabrera"
71,18,3,"Ian Poulter, Patton Kizzire, Phil Mickelson, Louis Oosthuizen, Henrik Stenson, Keith Mitchell","Dustin Johnson, Xander Schauffele, Jason Day, Rickie Fowler, Jon Rahm, Aaron Wise, Adam Scott, Rory McIlroy, Thorbjorn Olesen, Viktor Hovland, Charles Howell III, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Kevin Na, Trevor Immelman, Eddie Pepperell","Hideki Matsuyama, Bernhard Langer",NA,NA,"Tiger Woods, Brooks Koepka, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Gary Woodland, Tommy Fleetwood, Kevin Tway, Keegan Bradley, Haotong Li, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren"
72,18,4,"Jason Day, Webb Simpson, Justin Harding, Aaron Wise, Charles Howell III, Jimmy Walker, Haotong Li, Kevin Na, Kiradech Aphibarnrat, Branden Grace","Tiger Woods, Rickie Fowler, Justin Thomas, Bubba Watson, Matthew Fitzpatrick, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Tommy Fleetwood, Patrick Reed, Keith Mitchell, Marc Leishman, J.B. Holmes, Alex Noren",Bernhard Langer,NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Patrick Cantlay, Jon Rahm, Matt Kuchar, Ian Poulter, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Keegan Bradley, Corey Conners, Andrew Landry, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo"
