Hole,Round,Result,Players
3,1,Par,"Tiger Woods,ÿDustin Johnson,ÿBrooks Koepka,ÿJason Day,ÿTony Finau,ÿFrancesco Molinari,ÿPatrick Cantlay,ÿMatt Kuchar,ÿIan Poulter,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿAdam Scott,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿKevin Kisner,ÿKyle Stanley,ÿCharley Hoffman,ÿCharles Howell III,ÿGary Woodland,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿKevin Tway,ÿKeegan Bradley,ÿKeith Mitchell,ÿAndrew Landry,ÿKevin Na,ÿKiradech Aphibarnrat,ÿMarc Leishman,ÿEddie Pepperell,ÿCameron Smith,ÿDevon Bling,ÿTyrrell Hatton,ÿBranden Grace,ÿZach Johnson,ÿTakumi Kanaya,ÿEmiliano Grillo,ÿBernhard Langer,ÿAlex Noren,ÿStewart Cink,ÿSergio Garcia,ÿSandy Lyle,ÿKevin O'Connell,ÿJustin Rose,ÿMike Weir,ÿDanny Willett,ÿCharl Schwartzel,ÿBrandt Snedeker,ÿShugo Imahira,ÿLarry Mize,ÿJovan Rebula,ÿMatt Wallace,ÿIan Woosnam,ÿJose Maria Olazabal"
3,1,Bogey,"Xander Schauffele,ÿRickie Fowler,ÿJordan Spieth,ÿBryson DeChambeau,ÿViktor Hovland,ÿHideki Matsuyama,ÿCorey Conners,ÿTrevor Immelman,ÿJ.B. Holmes,ÿFred Couples,ÿPaul Casey,ÿMichael Kim,ÿVijay Singh"
3,1,Double Bogey,Martin Kaymer
3,2,Birdie,"Brooks Koepka,ÿXander Schauffele,ÿFrancesco Molinari,ÿJon Rahm,ÿThorbjorn Olesen,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿCorey Conners,ÿZach Johnson,ÿFred Couples,ÿBrandt Snedeker,ÿJovan Rebula,ÿMichael Kim"
3,2,Par,"Tiger Woods,ÿDustin Johnson,ÿJason Day,ÿTony Finau,ÿWebb Simpson,ÿPatrick Cantlay,ÿJustin Harding,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿAdam Scott,ÿLucas Bjerregaard,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿKevin Kisner,ÿRory McIlroy,ÿJordan Spieth,ÿKyle Stanley,ÿBryson DeChambeau,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿKevin Tway,ÿJimmy Walker,ÿKeegan Bradley,ÿHaotong Li,ÿKeith Mitchell,ÿAndrew Landry,ÿKevin Na,ÿKiradech Aphibarnrat,ÿMarc Leishman,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿCameron Smith,ÿDevon Bling,ÿTyrrell Hatton,ÿBilly Horschel,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿEmiliano Grillo,ÿBernhard Langer,ÿAlex Noren,ÿStewart Cink,ÿKevin O'Connell,ÿMike Weir,ÿAdam Long,ÿCharl Schwartzel,ÿShugo Imahira,ÿShane Lowry,ÿLarry Mize,ÿMatt Wallace,ÿPaul Casey,ÿVijay Singh,ÿIan Woosnam,ÿAngel Cabrera"
3,2,Bogey,"Rickie Fowler,ÿBranden Grace,ÿJ.B. Holmes,ÿSergio Garcia,ÿSandy Lyle,ÿJustin Rose,ÿDanny Willett,ÿJose Maria Olazabal"
3,3,Birdie,"Brooks Koepka,ÿXander Schauffele,ÿTony Finau,ÿRickie Fowler,ÿJustin Harding,ÿMatt Kuchar,ÿJustin Thomas,ÿBubba Watson,ÿPatton Kizzire,ÿPhil Mickelson,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿJordan Spieth,ÿKyle Stanley,ÿHideki Matsuyama,ÿPatrick Reed,ÿHenrik Stenson,ÿKevin Tway,ÿKeegan Bradley,ÿMarc Leishman,ÿTrevor Immelman,ÿDevon Bling,ÿTyrrell Hatton,ÿZach Johnson,ÿTakumi Kanaya"
3,3,Par,"Tiger Woods,ÿDustin Johnson,ÿJason Day,ÿFrancesco Molinari,ÿWebb Simpson,ÿPatrick Cantlay,ÿJon Rahm,ÿIan Poulter,ÿAaron Wise,ÿAdam Scott,ÿLucas Bjerregaard,ÿKevin Kisner,ÿRory McIlroy,ÿThorbjorn Olesen,ÿBryson DeChambeau,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿGary Woodland,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿJimmy Walker,ÿHaotong Li,ÿCorey Conners,ÿAndrew Landry,ÿKevin Na,ÿKiradech Aphibarnrat,ÿMartin Kaymer,ÿEddie Pepperell,ÿCameron Smith,ÿBilly Horschel,ÿBranden Grace,ÿSatoshi Kodaira,ÿJ.B. Holmes,ÿBernhard Langer,ÿAlex Noren"
3,3,Bogey,"Keith Mitchell,ÿEmiliano Grillo"
3,4,Birdie,"Tiger Woods,ÿPhil Mickelson,ÿKevin Kisner,ÿBryson DeChambeau,ÿCharley Hoffman,ÿGary Woodland,ÿRafa Cabrera Bello,ÿAlvaro Ortiz,ÿHaotong Li,ÿKeith Mitchell,ÿAndrew Landry"
